"Notes"	"Year"	"Year Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"1968"	"1968"	"Streptococcal sore throat"	"034.0"	24	199533564	0.0
	"1968"	"1968"	"Scarlet fever"	"034.1"	4	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Erysipelas"	"035"	9	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Meningococcal meningitis"	"036.0"	350	199533564	0.2
	"1968"	"1968"	"Meningococcemia without mention of meningitis"	"036.1"	384	199533564	0.2
	"1968"	"1968"	"Other forms of meningococcal infection"	"036.8"	1	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Unspecified"	"036.9"	6	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Tetanus"	"037"	86	199533564	0.0
	"1968"	"1968"	"Streptococcal"	"038.0"	44	199533564	0.0
	"1968"	"1968"	"Staphylococcal"	"038.1"	174	199533564	0.1
	"1968"	"1968"	"Pneumococcal"	"038.2"	28	199533564	0.0
	"1968"	"1968"	"Other bacterial septicemia"	"038.8"	254	199533564	0.1
	"1968"	"1968"	"Unspecified"	"038.9"	2491	199533564	1.2
	"1968"	"1968"	"Gas gangrene"	"039.0"	71	199533564	0.0
	"1968"	"1968"	"Other"	"039.9"	257	199533564	0.1
	"1968"	"1968"	"Acute paralytic poliomyelitis specified as bulbar"	"040"	7	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Acute poliomyelitis with other paralysis"	"041"	3	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Acute poliomyelitis, unspecified"	"043"	14	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Late effects of acute poliomyelitis"	"044"	106	199533564	0.1
	"1968"	"1968"	"Aseptic meningitis, unspecified"	"045.9"	50	199533564	0.0
	"1968"	"1968"	"Other enterovirus diseases of central nervous system"	"046"	49	199533564	0.0
	"1968"	"1968"	"Chickenpox"	"052"	99	199533564	0.0
	"1968"	"1968"	"Of eye"	"053.0"	3	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Of other parts of face"	"053.1"	4	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Of trunk"	"053.2"	5	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Of other and unspecified sites"	"053.9"	57	199533564	0.0
	"1968"	"1968"	"Herpes simplex"	"054"	37	199533564	0.0
	"1968"	"1968"	"Measles"	"055"	24	199533564	0.0
	"1968"	"1968"	"Rubella"	"056"	24	199533564	0.0
	"1968"	"1968"	"Dengue"	"061"	1	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Eastern equine encephalitis"	"062.2"	6	199533564	0.0 (Unreliable)
	"1968"	"1968"	"St. Louis encephalitis"	"062.3"	1	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Viral encephalitis transmitted by other arthropods"	"064"	1	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Viral encephalitis, unspecified"	"065"	347	199533564	0.2
	"1968"	"1968"	"Late effects of viral encephalitis"	"066"	42	199533564	0.0
	"1968"	"1968"	"Infectious hepatitis"	"070"	877	199533564	0.4
	"1968"	"1968"	"Rabies"	"071"	1	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Mumps"	"072"	25	199533564	0.0
	"1968"	"1968"	"Coxsackie myocarditis"	"074.2"	17	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Other"	"074.9"	2	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Infectious mononucleosis"	"075"	14	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Lymphocytic choriomeningitis"	"079.2"	7	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Cytomegalic inclusion disease"	"079.5"	32	199533564	0.0
	"1968"	"1968"	"Other"	"079.8"	1	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Viral infection, unspecified"	"079.9"	468	199533564	0.2
	"1968"	"1968"	"Unspecified"	"081.9"	2	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Spotted fevers"	"082.0"	21	199533564	0.0
	"1968"	"1968"	"Other"	"083.8"	1	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Unspecified"	"083.9"	1	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Falicparum malaria (malignant tertian)"	"084.0"	4	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Unspecified forms"	"084.9"	3	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Unspecified"	"088.9"	1	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Early congenital syphilis, symptomatic"	"090.0"	4	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Early congenital syphilis, unspecified"	"090.2"	3	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Juvenile neurosyphilis"	"090.4"	5	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Other late congenital syphilis, symptomatic"	"090.5"	2	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Late congenital syphilis, unspecified"	"090.7"	3	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Congenital syphilis, unspecified"	"090.9"	11	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Aneurysm of aorta, specified as syphilitic"	"093.0"	53	199533564	0.0
	"1968"	"1968"	"Other cardiovascular syphilis"	"093.9"	285	199533564	0.1
	"1968"	"1968"	"Tabes dorsalis"	"094.0"	42	199533564	0.0
	"1968"	"1968"	"General paresis"	"094.1"	49	199533564	0.0
	"1968"	"1968"	"Other syphilis of central nervous system"	"094.9"	100	199533564	0.1
	"1968"	"1968"	"Other forms of late syphilis, with symptoms"	"095"	6	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Late syphilis, unspecified"	"097.0"	8	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Syphilis, unspecified"	"097.9"	15	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Of other sites"	"098.8"	1	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Lymphogranuloma verereum"	"099.1"	2	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Granuloma inguinale"	"099.2"	1	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Other and unspecified"	"099.9"	3	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Leptospurosis icterohemorrhagica"	"100.0"	2	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Other"	"100.8"	1	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Unspecified"	"100.9"	6	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Vincent's angina"	"101"	2	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Moniliasis"	"112"	112	199533564	0.1
	"1968"	"1968"	"Actinomycosis"	"113"	16	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Coccidioidomycosis"	"114"	58	199533564	0.0
	"1968"	"1968"	"Histoplasmosis"	"115"	58	199533564	0.0
	"1968"	"1968"	"European"	"116.0"	96	199533564	0.0
	"1968"	"1968"	"Other and unspecified"	"116.9"	15	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Aspergillosis"	"117.3"	28	199533564	0.0
	"1968"	"1968"	"Other"	"117.8"	26	199533564	0.0
	"1968"	"1968"	"Unspecified"	"117.9"	36	199533564	0.0
	"1968"	"1968"	"Fascioliasis"	"121.3"	1	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Of liver"	"122.0"	3	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Of lung"	"122.1"	1	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Of other specified sites"	"122.8"	1	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Of unspecified site"	"122.9"	1	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Cysticercosis"	"123.1"	1	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Ascariasis"	"127.0"	7	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Strongyloidiasis"	"127.1"	1	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Mixed intestinal helminthiasis"	"127.5"	1	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Intestinal parasitism, unspecified"	"129"	1	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Congenital active"	"130.1"	9	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Late effects of intrauterine infection"	"130.2"	1	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Unspecified"	"130.9"	10	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Myiasis"	"134.0"	3	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Sarcoidosis"	"135"	238	199533564	0.1
	"1968"	"1968"	"Other and unspecified infective and parasitic diseases"	"136"	335	199533564	0.2
	"1968"	"1968"	"Upper lip"	"140.0"	10	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Lower lip"	"140.1"	47	199533564	0.0
	"1968"	"1968"	"Both lips"	"140.2"	2	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Lip unspecified"	"140.9"	125	199533564	0.1
	"1968"	"1968"	"Base of tongue"	"141.0"	172	199533564	0.1
	"1968"	"1968"	"Dorsal surface of tongue"	"141.1"	1	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Borders and tip of tongue"	"141.2"	4	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Part unspecified"	"141.9"	1527	199533564	0.8
	"1968"	"1968"	"Parotid gland"	"142.0"	459	199533564	0.2
	"1968"	"1968"	"Other specified salivary gland"	"142.8"	74	199533564	0.0
	"1968"	"1968"	"Unspecified salivary gland"	"142.9"	62	199533564	0.0
	"1968"	"1968"	"Upper gum"	"143.0"	8	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Lower gum"	"143.1"	26	199533564	0.0
	"1968"	"1968"	"Gum unspecified"	"143.9"	107	199533564	0.1
	"1968"	"1968"	"Malignant neoplasm of floor of mouth"	"144"	497	199533564	0.2
	"1968"	"1968"	"Buccal mucosa"	"145.0"	103	199533564	0.1
	"1968"	"1968"	"Palate (hard) (soft)"	"145.1"	272	199533564	0.1
	"1968"	"1968"	"Other specified parts"	"145.8"	19	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Part unspecified"	"145.9"	613	199533564	0.3
	"1968"	"1968"	"Tonsils"	"146.0"	648	199533564	0.3
	"1968"	"1968"	"Other specified parts"	"146.8"	62	199533564	0.0
	"1968"	"1968"	"Part unspecified"	"146.9"	157	199533564	0.1
	"1968"	"1968"	"Malignant neoplasm of nasopharynx"	"147"	541	199533564	0.3
	"1968"	"1968"	"Postcricoid region"	"148.0"	3	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Pyriform fossa"	"148.1"	155	199533564	0.1
	"1968"	"1968"	"Other specified parts"	"148.8"	1	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Part unspecified"	"148.9"	318	199533564	0.2
	"1968"	"1968"	"Malignant neoplasm of pharynx, unspecified"	"149"	1281	199533564	0.6
	"1968"	"1968"	"Malignant neoplasm of esophagus"	"150"	5804	199533564	2.9
	"1968"	"1968"	"Cardia"	"151.0"	184	199533564	0.1
	"1968"	"1968"	"Pylorus"	"151.1"	56	199533564	0.0
	"1968"	"1968"	"Other specified parts"	"151.8"	92	199533564	0.0
	"1968"	"1968"	"Part unspecified"	"151.9"	16569	199533564	8.3
	"1968"	"1968"	"Duodenum"	"152.0"	186	199533564	0.1
	"1968"	"1968"	"Jejunum"	"152.1"	101	199533564	0.1
	"1968"	"1968"	"Ileum"	"152.2"	118	199533564	0.1
	"1968"	"1968"	"Part unspecified"	"152.9"	260	199533564	0.1
	"1968"	"1968"	"Cecum, appendix and ascending colon"	"153.0"	4394	199533564	2.2
	"1968"	"1968"	"Transverse colon, including hepatic and splenic flexures"	"153.1"	1451	199533564	0.7
	"1968"	"1968"	"Descending colon"	"153.2"	1135	199533564	0.6
	"1968"	"1968"	"Sigmoid colon"	"153.3"	5573	199533564	2.8
	"1968"	"1968"	"Large intestine (including colon), part unspecified"	"153.8"	19829	199533564	9.9
	"1968"	"1968"	"Intestinal tract, part unspecified"	"153.9"	1648	199533564	0.8
	"1968"	"1968"	"Rectosigmoid junction"	"154.0"	1587	199533564	0.8
	"1968"	"1968"	"Rectum"	"154.1"	8778	199533564	4.4
	"1968"	"1968"	"Anal canal"	"154.2"	40	199533564	0.0
	"1968"	"1968"	"Liver"	"155.0"	2109	199533564	1.1
	"1968"	"1968"	"Intrahepatic bile ducts"	"155.1"	87	199533564	0.0
	"1968"	"1968"	"Gallbladder"	"156.0"	2777	199533564	1.4
	"1968"	"1968"	"Extraheptic bile ducts"	"156.1"	1204	199533564	0.6
	"1968"	"1968"	"Ampulla of Vater"	"156.2"	397	199533564	0.2
	"1968"	"1968"	"Biliary tract, unspecified"	"156.9"	231	199533564	0.1
	"1968"	"1968"	"Head"	"157.0"	2670	199533564	1.3
	"1968"	"1968"	"Other specified parts"	"157.8"	500	199533564	0.3
	"1968"	"1968"	"Unspecified"	"157.9"	14211	199533564	7.1
	"1968"	"1968"	"Retroperitoneal tissue"	"158.0"	567	199533564	0.3
	"1968"	"1968"	"Other parts"	"158.9"	295	199533564	0.1
	"1968"	"1968"	"Malignant neoplasm of unspecified digestive organs"	"159"	710	199533564	0.4
	"1968"	"1968"	"Nose (internal) and nasal cavities"	"160.0"	128	199533564	0.1
	"1968"	"1968"	"Eustachian tube and middle ear"	"160.1"	33	199533564	0.0
	"1968"	"1968"	"Maxiliary sinus"	"160.2"	363	199533564	0.2
	"1968"	"1968"	"Other sinus"	"160.8"	65	199533564	0.0
	"1968"	"1968"	"Unspecified sinus"	"160.9"	60	199533564	0.0
	"1968"	"1968"	"Glottis, true vocal cord"	"161.0"	33	199533564	0.0
	"1968"	"1968"	"Other specified parts"	"161.8"	121	199533564	0.1
	"1968"	"1968"	"Part unspecified"	"161.9"	2682	199533564	1.3
	"1968"	"1968"	"Trachea"	"162.0"	131	199533564	0.1
	"1968"	"1968"	"Bronchus and lung"	"162.1"	59236	199533564	29.7
	"1968"	"1968"	"Pleura"	"163.0"	289	199533564	0.1
	"1968"	"1968"	"Mediastinum"	"163.1"	305	199533564	0.2
	"1968"	"1968"	"Site unspecified"	"163.9"	39	199533564	0.0
	"1968"	"1968"	"Bones of skull and face"	"170.0"	232	199533564	0.1
	"1968"	"1968"	"Lower jaw bone"	"170.1"	179	199533564	0.1
	"1968"	"1968"	"Vertebral column (excluding sacrum and coccyx)"	"170.2"	274	199533564	0.1
	"1968"	"1968"	"Ribs, sternum, and clavicle"	"170.3"	79	199533564	0.0
	"1968"	"1968"	"Long bones of upper limb and scapula"	"170.4"	77	199533564	0.0
	"1968"	"1968"	"Upper limb, short bones"	"170.5"	1	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Pelvic bones, sacrum, coccyx"	"170.6"	165	199533564	0.1
	"1968"	"1968"	"Lower limb, long bones"	"170.7"	254	199533564	0.1
	"1968"	"1968"	"Lower limb, short bones"	"170.8"	18	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Site unspecified"	"170.9"	489	199533564	0.2
	"1968"	"1968"	"Head, face, and neck"	"171.0"	63	199533564	0.0
	"1968"	"1968"	"Trunk"	"171.1"	262	199533564	0.1
	"1968"	"1968"	"Upper limb (including shoulder)"	"171.2"	78	199533564	0.0
	"1968"	"1968"	"Lower limb (including hip)"	"171.3"	283	199533564	0.1
	"1968"	"1968"	"Site unspecified"	"171.9"	737	199533564	0.4
	"1968"	"1968"	"Lips"	"172.0"	4	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Eyelids, including canthi"	"172.1"	4	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Ear and external auricular canal"	"172.2"	30	199533564	0.0
	"1968"	"1968"	"Other and unspecified parts of face"	"172.3"	73	199533564	0.0
	"1968"	"1968"	"Scalp and neck"	"172.4"	100	199533564	0.1
	"1968"	"1968"	"Scrotum"	"172.5"	3	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Trunk, except scrotum"	"172.6"	238	199533564	0.1
	"1968"	"1968"	"Upper limb"	"172.7"	139	199533564	0.1
	"1968"	"1968"	"Lower limb"	"172.8"	220	199533564	0.1
	"1968"	"1968"	"Site unspecified"	"172.9"	2165	199533564	1.1
	"1968"	"1968"	"Lips"	"173.0"	49	199533564	0.0
	"1968"	"1968"	"Eyelids, including canthi"	"173.1"	16	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Ear and external auricular canal"	"173.2"	91	199533564	0.0
	"1968"	"1968"	"Other and unspecified part of face"	"173.3"	599	199533564	0.3
	"1968"	"1968"	"Scalp and neck"	"173.4"	219	199533564	0.1
	"1968"	"1968"	"Scrotum"	"173.5"	17	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Trunk, except scrotum"	"173.6"	205	199533564	0.1
	"1968"	"1968"	"Upper limb"	"173.7"	51	199533564	0.0
	"1968"	"1968"	"Lower limb"	"173.8"	47	199533564	0.0
	"1968"	"1968"	"Site unspecified"	"173.9"	130	199533564	0.1
	"1968"	"1968"	"Malignant neoplasm of breast"	"174"	29081	199533564	14.6
	"1968"	"1968"	"Malignant neoplasm of cervix uteri"	"180"	7108	199533564	3.6
	"1968"	"1968"	"Chorionepithelioma"	"181"	40	199533564	0.0
	"1968"	"1968"	"Corpus uteri"	"182.0"	1756	199533564	0.9
	"1968"	"1968"	"Uterus, unspecified"	"182.9"	3855	199533564	1.9
	"1968"	"1968"	"Ovary"	"183.0"	9353	199533564	4.7
	"1968"	"1968"	"Fallopian tube and broad ligament"	"183.1"	130	199533564	0.1
	"1968"	"1968"	"Part unspecified"	"183.9"	6	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Vagina"	"184.0"	313	199533564	0.2
	"1968"	"1968"	"Vulva"	"184.1"	498	199533564	0.2
	"1968"	"1968"	"Other specified sites"	"184.8"	2	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Site unspecified"	"184.9"	65	199533564	0.0
	"1968"	"1968"	"Malignant neoplasm of prostate"	"185"	16848	199533564	8.4
	"1968"	"1968"	"Malignant neoplasm of testis"	"186"	697	199533564	0.3
	"1968"	"1968"	"Penis"	"187.0"	228	199533564	0.1
	"1968"	"1968"	"Other specified sites"	"187.8"	17	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Site unspecified"	"187.9"	20	199533564	0.0
	"1968"	"1968"	"Malignant neoplasm of bladder"	"188"	8492	199533564	4.3
	"1968"	"1968"	"Kidney, except pelvis"	"189.0"	5834	199533564	2.9
	"1968"	"1968"	"Pelvis of kidney"	"189.1"	66	199533564	0.0
	"1968"	"1968"	"Ureter"	"189.2"	217	199533564	0.1
	"1968"	"1968"	"Other and unspecified"	"189.9"	183	199533564	0.1
	"1968"	"1968"	"Malignant neoplasm of eye"	"190"	363	199533564	0.2
	"1968"	"1968"	"Malignant neoplasm of brain"	"191"	5776	199533564	2.9
	"1968"	"1968"	"Cranial nerves (including optic)"	"192.0"	19	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Cerebral meninges"	"192.1"	28	199533564	0.0
	"1968"	"1968"	"Spinal cord"	"192.2"	155	199533564	0.1
	"1968"	"1968"	"Spinal meninges"	"192.3"	3	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Peripheral nerves"	"192.4"	114	199533564	0.1
	"1968"	"1968"	"Sympathetic nervous system"	"192.5"	328	199533564	0.2
	"1968"	"1968"	"Site unspecified"	"192.9"	1085	199533564	0.5
	"1968"	"1968"	"Malignant neoplasm of thyroid gland"	"193"	1017	199533564	0.5
	"1968"	"1968"	"Suprarenal gland"	"194.0"	266	199533564	0.1
	"1968"	"1968"	"Parathyroid gland"	"194.1"	9	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Thymus"	"194.2"	67	199533564	0.0
	"1968"	"1968"	"Pituitary gland and craniopharyngeal duct"	"194.3"	23	199533564	0.0
	"1968"	"1968"	"Pineal gland"	"194.4"	7	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Other"	"194.8"	10	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Unspecified endocrine gland"	"194.9"	1	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Abdomen, intra-abdominal cancer"	"195.0"	1439	199533564	0.7
	"1968"	"1968"	"Pelvis, pelvic viscera, rectovaginal septum"	"195.1"	347	199533564	0.2
	"1968"	"1968"	"Other"	"195.9"	905	199533564	0.5
	"1968"	"1968"	"Head, face, and neck"	"196.0"	93	199533564	0.0
	"1968"	"1968"	"Intrathoracic"	"196.1"	7	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Intra-abdominal"	"196.2"	8	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Axillary and upper limb"	"196.3"	1	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Inguinal and lower limb"	"196.4"	11	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Other specified sites"	"196.7"	11	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Multiple sites"	"196.8"	6	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Site unspecified"	"196.9"	51	199533564	0.0
	"1968"	"1968"	"Lung, specified as secondary"	"197.0"	691	199533564	0.3
	"1968"	"1968"	"Mediastinum, specified as secondary"	"197.1"	14	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Pleura, specified as secondary"	"197.2"	99	199533564	0.0
	"1968"	"1968"	"Other respiratory organs, specified as secondary"	"197.3"	11	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Small intestine, including duodenum, specified as secondary"	"197.4"	7	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Large intestine and rectum, specified as secondary"	"197.5"	41	199533564	0.0
	"1968"	"1968"	"Peritoneum, specified as secondary"	"197.6"	108	199533564	0.1
	"1968"	"1968"	"Liver, specified as secondary"	"197.7"	1465	199533564	0.7
	"1968"	"1968"	"Liver, unspecified"	"197.8"	2981	199533564	1.5
	"1968"	"1968"	"Other digestive organs, specified as secondary"	"197.9"	42	199533564	0.0
	"1968"	"1968"	"Bladder specified as secondary"	"198.0"	3	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Other urinary organs, specified as secondary"	"198.1"	11	199533564	0.0 (Unreliable)
	"1968"	"1968"	"Skin, specified as secondary"	"198.2"	50	199533564	0.0
	"1968"	"1968"	"Brain, specified as secondary"	"198.3"	503	199533564	0.3
